,title,url,price,image_url,description
10802,Cape Verdean Driver Badge T-Shirt Tee Shirt Free Sticker wakaba soshinoya Verde,http://picclick.com/Cape-Verdean-Driver-Badge-T-Shirt-Tee-Shirt-Free-121450678317.html,"{'amount': 14.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/121450678317_/Cape-Verdean-Driver-Badge-T-Shirt-Tee-Shirt-Free.jpg,
10803,Horace Silver - Cape Verdean Blues [New CD] Rmst,http://picclick.com/Horace-Silver-Cape-Verdean-Blues-New-CD-141893221234.html,"{'amount': 10.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/141893221234_/Horace-Silver-Cape-Verdean-Blues-New-CD.jpg,
10804,BUDDY RICH - CLASS OF ‘78 - GRYPHON 1977 - G 781 - Vinyl Lp Jazz Funk Big Band,http://picclick.com/BUDDY-RICH-CLASS-OF-%E2%80%9878-GRYPHON-323304615546.html,"{'amount': 3.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/323304615546_/BUDDY-RICH-CLASS-OF-%E2%80%9878-GRYPHON.jpg,
10805,Bitori - Legend Of Funana: Forbidden Music Of The Capes [New Vinyl LP],http://picclick.com/Bitori-Legend-Of-Funana-Forbidden-Music-Of-361761242016.html,"{'amount': 21.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/361761242016_/Bitori-Legend-Of-Funana-Forbidden-Music-Of.jpg,
10806,Round Cape Verdean Flag T-Shirt Tee Shirt Free Sticker Cape Verde CPV,http://picclick.com/Round-Cape-Verdean-Flag-T-Shirt-Tee-Shirt-Free-121450678243.html,"{'amount': 15.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/121450678243_/Round-Cape-Verdean-Flag-T-Shirt-Tee-Shirt-Free.jpg,
10807,"Necessarily Black : Cape Verdean Youth, Hip-Hop Culture, and a Critique of Id...",http://picclick.com/Necessarily-Black-Cape-Verdean-Youth-Hip-Hop-Culture-263433407405.html,"{'amount': 19.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/263433407405_/Necessarily-Black-Cape-Verdean-Youth-Hip-Hop-Culture.jpg,
10808,Cabo Verdean Soccer Cape Verde Football Unisex Cotton T-Shirt Tee Top,http://picclick.com/Cabo-Verdean-Soccer-Cape-Verde-Football-Unisex-Cotton-131866558321.html,"{'amount': 14.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/131866558321_/Cabo-Verdean-Soccer-Cape-Verde-Football-Unisex-Cotton.jpg,
10809,Old Cape Verdean Flag Africa Hanes Tagless Tee T-Shirt,http://picclick.com/Old-Cape-Verdean-Flag-Africa-Hanes-Tagless-Tee-282884504075.html,"{'amount': 18.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/282884504075_/Old-Cape-Verdean-Flag-Africa-Hanes-Tagless-Tee.jpg,
10810,Don Verdean / O.S.T. [CD New],http://picclick.com/Don-Verdean-OST-CD-New-362141926051.html,"{'amount': 16.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/362141926051_/Don-Verdean-OST-CD-New.jpg,
10811,"Antonio Sanches ""buli Povo!"" Cabo Verde Africa Funana Lp Record Store Day 2018",http://picclick.com/Antonio-Sanches-buli-Povo-Cabo-Verde-Africa-Funana-382450365732.html,"{'amount': 34.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/382450365732_/Antonio-Sanches-buli-Povo-Cabo-Verde-Africa-Funana.jpg,
